step,time,x,y,invariant
194,0.194,219.365,81.8685,-4.37511
195,0.195,219.468,81.8799,-4.37511
196,0.196,219.572,81.8913,-4.37511
197,0.197,219.676,81.9027,-4.37511
198,0.198,219.78,81.9141,-4.37511
199,0.199,219.883,81.9255,-4.37511
200,0.2,219.987,81.9369,-4.37511
201,0.201,220.091,81.9484,-4.37511
202,0.202,220.195,81.9599,-4.37511
203,0.203,220.299,81.9714,-4.37511
204,0.204,220.403,81.9829,-4.37511
205,0.205,220.507,81.9945,-4.37511
206,0.206,220.611,82.006,-4.37511
207,0.207,220.715,82.0176,-4.37511
208,0.208,220.82,82.0292,-4.37511
209,0.209,220.924,82.0408,-4.37511
210,0.21,221.028,82.0525,-4.37511
211,0.211,221.132,82.0641,-4.37511
212,0.212,221.237,82.0758,-4.37511
213,0.213,221.341,82.0875,-4.37511
214,0.214,221.445,82.0992,-4.37511
215,0.215,221.55,82.1109,-4.37511
216,0.216,221.654,82.1227,-4.37511
217,0.217,221.759,82.1345,-4.37511
218,0.218,221.863,82.1463,-4.37511
219,0.219,221.968,82.1581,-4.37511
220,0.22,222.073,82.1699,-4.37511
221,0.221,222.177,82.1817,-4.37511
222,0.222,222.282,82.1936,-4.37511
223,0.223,222.387,82.2055,-4.37511
224,0.224,222.491,82.2174,-4.37511
225,0.225,222.596,82.2293,-4.37511
226,0.226,222.701,82.2412,-4.37511
227,0.227,222.806,82.2532,-4.37511
228,0.228,222.911,82.2652,-4.37511
229,0.229,223.016,82.2772,-4.37511
230,0.23,223.121,82.2892,-4.37511
231,0.231,223.226,82.3012,-4.37511
232,0.232,223.331,82.3133,-4.37511
233,0.233,223.436,82.3253,-4.37511
234,0.234,223.541,82.3374,-4.37511
235,0.235,223.647,82.3495,-4.37511
236,0.236,223.752,82.3617,-4.37511
237,0.237,223.857,82.3738,-4.37511
238,0.238,223.962,82.386,-4.37511
239,0.239,224.068,82.3982,-4.37511
240,0.24,224.173,82.4104,-4.37511
241,0.241,224.279,82.4226,-4.37511
242,0.242,224.384,82.4349,-4.37511
243,0.243,224.49,82.4471,-4.37511
244,0.244,224.595,82.4594,-4.37511
245,0.245,224.701,82.4717,-4.37511
246,0.246,224.806,82.484,-4.37511
247,0.247,224.912,82.4964,-4.37511
248,0.248,225.018,82.5087,-4.37511
249,0.249,225.124,82.5211,-4.37511
250,0.25,225.229,82.5335,-4.37511
251,0.251,225.335,82.5459,-4.37511
252,0.252,225.441,82.5584,-4.37511
253,0.253,225.547,82.5708,-4.37511
254,0.254,225.653,82.5833,-4.37511
255,0.255,225.759,82.5958,-4.37511
256,0.256,225.865,82.6083,-4.37511
257,0.257,225.971,82.6208,-4.37511
258,0.258,226.077,82.6334,-4.37511
259,0.259,226.183,82.646,-4.37511
260,0.26,226.289,82.6586,-4.37511
261,0.261,226.396,82.6712,-4.37511
262,0.262,226.502,82.6838,-4.37511
263,0.263,226.608,82.6964,-4.37511
264,0.264,226.714,82.7091,-4.37511
265,0.265,226.821,82.7218,-4.37511
266,0.266,226.927,82.7345,-4.37511
267,0.267,227.034,82.7472,-4.37511
268,0.268,227.14,82.76,-4.37511
269,0.269,227.247,82.7728,-4.37511
270,0.27,227.353,82.7856,-4.37511
271,0.271,227.46,82.7984,-4.37511
272,0.272,227.566,82.8112,-4.37511
273,0.273,227.673,82.824,-4.37511
274,0.274,227.78,82.8369,-4.37511
275,0.275,227.887,82.8498,-4.37511
276,0.276,227.993,82.8627,-4.37511
277,0.277,228.1,82.8756,-4.37511
278,0.278,228.207,82.8886,-4.37511
279,0.279,228.314,82.9015,-4.37511
280,0.28,228.421,82.9145,-4.37511
281,0.281,228.528,82.9275,-4.37511
282,0.282,228.635,82.9405,-4.37511
283,0.283,228.742,82.9536,-4.37511
284,0.284,228.849,82.9666,-4.37511
285,0.285,228.956,82.9797,-4.3751
286,0.286,229.063,82.9928,-4.3751
287,0.287,229.171,83.006,-4.3751
288,0.288,229.278,83.0191,-4.3751
289,0.289,229.385,83.0323,-4.3751
290,0.29,229.492,83.0454,-4.3751
291,0.291,229.6,83.0587,-4.3751
292,0.292,229.707,83.0719,-4.3751
293,0.293,229.815,83.0851,-4.3751
294,0.294,229.922,83.0984,-4.3751
295,0.295,230.03,83.1117,-4.3751
296,0.296,230.137,83.125,-4.3751
297,0.297,230.245,83.1383,-4.3751
298,0.298,230.352,83.1516,-4.3751
299,0.299,230.46,83.165,-4.3751
300,0.3,230.568,83.1784,-4.3751
301,0.301,230.676,83.1918,-4.3751
302,0.302,230.783,83.2052,-4.3751
303,0.303,230.891,83.2186,-4.3751
304,0.304,230.999,83.2321,-4.3751
305,0.305,231.107,83.2456,-4.3751
306,0.306,231.215,83.2591,-4.3751
307,0.307,231.323,83.2726,-4.3751
308,0.308,231.431,83.2862,-4.3751
309,0.309,231.539,83.2997,-4.3751
310,0.31,231.647,83.3133,-4.3751
311,0.311,231.755,83.3269,-4.3751
312,0.312,231.863,83.3405,-4.3751
313,0.313,231.971,83.3542,-4.3751
314,0.314,232.08,83.3679,-4.3751
315,0.315,232.188,83.3815,-4.3751
316,0.316,232.296,83.3952,-4.3751
317,0.317,232.405,83.409,-4.3751
318,0.318,232.513,83.4227,-4.3751
319,0.319,232.621,83.4365,-4.3751
320,0.32,232.73,83.4503,-4.3751
321,0.321,232.838,83.4641,-4.3751
322,0.322,232.947,83.4779,-4.3751
323,0.323,233.055,83.4918,-4.3751
324,0.324,233.164,83.5056,-4.3751
325,0.325,233.273,83.5195,-4.3751
326,0.326,233.381,83.5334,-4.3751
327,0.327,233.49,83.5474,-4.3751
328,0.328,233.599,83.5613,-4.3751
329,0.329,233.708,83.5753,-4.3751
330,0.33,233.816,83.5893,-4.3751
331,0.331,233.925,83.6033,-4.3751
332,0.332,234.034,83.6173,-4.3751
333,0.333,234.143,83.6314,-4.3751
334,0.334,234.252,83.6454,-4.3751
335,0.335,234.361,83.6595,-4.3751
336,0.336,234.47,83.6736,-4.3751
337,0.337,234.579,83.6878,-4.3751
338,0.338,234.689,83.7019,-4.3751
339,0.339,234.798,83.7161,-4.3751
340,0.34,234.907,83.7303,-4.3751
341,0.341,235.016,83.7445,-4.3751
342,0.342,235.125,83.7588,-4.3751
343,0.343,235.235,83.773,-4.3751
344,0.344,235.344,83.7873,-4.3751
